('80a00cb9-db78-45ee-b738-45d227c22165_cologne_000005_000019', {'poly_id': 'cologne_000005_000019_22', 'color_shift': 73, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7fedfd7b-16e1-4f72-9da1-12c2e970ffe5_strasbourg_000000_015131', {'poly_id': 'strasbourg_000000_015131_34', 'color_shift': 116, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0be5005d-e8a8-488d-92d2-de8817822bd2_frankfurt_000001_015328', {'poly_id': 'frankfurt_000001_015328_42', 'color_shift': 98, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7d85d502-3d5a-4729-9de4-84fda51163d9_hamburg_000000_067223', {'poly_id': 'hamburg_000000_067223_27', 'color_shift': 113, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2189c987-e193-49ee-bac5-382b737a00e1_strasbourg_000000_000751', {'poly_id': 'strasbourg_000000_000751_89', 'color_shift': 88, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0eda2d0c-92af-48f8-b831-496576658be1_bremen_000186_000019', {'poly_id': 'bremen_000186_000019_36', 'color_shift': 133, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('cd3ec54f-8547-4360-9000-b2fa4f045cf7_frankfurt_000000_009561', {'poly_id': 'frankfurt_000000_009561_54', 'color_shift': 67, 'dec_lit': 21, 'inc_sat': 32, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9ec29e6a-ac65-4011-8145-207f7278c844_monchengladbach_000000_003442', {'poly_id': 'monchengladbach_000000_003442_74', 'color_shift': 114, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5341e360-b62c-45f6-838a-50db458b0381_hamburg_000000_057678', {'poly_id': 'hamburg_000000_057678_119', 'color_shift': 67, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f21d387f-4b0c-4342-8ccf-1cff468b1407_ulm_000047_000019', {'poly_id': 'ulm_000047_000019_64', 'color_shift': 82, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('91b420df-bae3-4ffc-b8ad-8514409a52c1_monchengladbach_000000_013228', {'poly_id': 'monchengladbach_000000_013228_26', 'color_shift': 127, 'dec_lit': 39, 'inc_sat': 31, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('dfacf5a2-a53d-4ec2-b804-f6e50a95a01c_weimar_000138_000019', {'poly_id': 'weimar_000138_000019_35', 'color_shift': 81, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('553b9846-3e1f-49a1-8e9b-ac820328031b_hanover_000000_014319', {'poly_id': 'hanover_000000_014319_52', 'color_shift': 99, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('da26745d-78b6-4368-acd5-b6b61450b738_strasbourg_000000_015131', {'poly_id': 'strasbourg_000000_015131_42', 'color_shift': 89, 'dec_lit': 42, 'inc_sat': 32, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f46e912b-f45c-43cc-bee6-b12d9c4b0e72_bremen_000202_000019', {'poly_id': 'bremen_000202_000019_24', 'color_shift': 106, 'dec_lit': 29, 'inc_sat': 11, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('cb614806-fcc5-4dd6-bbdf-9bd7bfa674a7_krefeld_000000_003937', {'poly_id': 'krefeld_000000_003937_30', 'color_shift': 49, 'dec_lit': 26, 'inc_sat': 10, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('35ab1b48-feac-4699-95f9-f8c0bea3663b_hamburg_000000_032266', {'poly_id': 'hamburg_000000_032266_75', 'color_shift': 116, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9b5bc45d-5162-4073-9e0a-4d07ff52bada_stuttgart_000104_000019', {'poly_id': 'stuttgart_000104_000019_21', 'color_shift': 67, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2f966524-4a5e-4fc3-963c-cf3b25d927e8_aachen_000013_000019', {'poly_id': 'aachen_000013_000019_75', 'color_shift': 91, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b26f575f-212d-4350-8e79-5fc5765e9a43_munster_000055_000019', {'poly_id': 'munster_000055_000019_81', 'color_shift': 111, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('48fc28c8-85ac-45f3-8c89-d5309e28e3e0_hanover_000000_048274', {'poly_id': 'hanover_000000_048274_60', 'color_shift': 77, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('ddd9ebe7-6f82-4e29-a74a-13ad8e978032_stuttgart_000029_000019', {'poly_id': 'stuttgart_000029_000019_63', 'color_shift': 106, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('8dfdfa76-9259-4f25-be76-7a5e2fb32bf8_hanover_000000_049005', {'poly_id': 'hanover_000000_049005_32', 'color_shift': 128, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f06afc34-3d20-498c-9641-663e8eb0d6eb_dusseldorf_000075_000019', {'poly_id': 'dusseldorf_000075_000019_69', 'color_shift': 57, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('78600a96-2dfe-4343-8713-0f2e1cbeb719_monchengladbach_000000_002255', {'poly_id': 'monchengladbach_000000_002255_33', 'color_shift': 83, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('782b68a5-76b2-4967-ab3e-4b240eac63e3_ulm_000092_000019', {'poly_id': 'ulm_000092_000019_38', 'color_shift': 58, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('bcfbf05d-3064-4bf3-a305-b9f3f5b3f64b_erfurt_000010_000019', {'poly_id': 'erfurt_000010_000019_56', 'color_shift': 83, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f71ca210-d787-4253-be36-c8a730847f52_aachen_000049_000019', {'poly_id': 'aachen_000049_000019_53', 'color_shift': 108, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e6a9cfb0-4702-4ec1-96e6-44266db97a48_dusseldorf_000094_000019', {'poly_id': 'dusseldorf_000094_000019_69', 'color_shift': 50, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('00efe340-718c-4cba-8a0e-a560f16f4f89_strasbourg_000001_042235', {'poly_id': 'strasbourg_000001_042235_71', 'color_shift': 127, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5117657c-621c-400d-8abc-aaa14513993f_cologne_000112_000019', {'poly_id': 'cologne_000112_000019_69', 'color_shift': 109, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5c9bfaca-7578-4025-9323-c19882fc9851_munster_000010_000019', {'poly_id': 'munster_000010_000019_62', 'color_shift': 122, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1c13322a-8322-4eb9-893a-99396746d6b1_cologne_000041_000019', {'poly_id': 'cologne_000041_000019_74', 'color_shift': 87, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('8896e927-9225-4c2c-885c-8d1cfe11176f_dusseldorf_000212_000019', {'poly_id': 'dusseldorf_000212_000019_101', 'color_shift': 101, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('62011912-33ef-4aa5-9018-ee299986c330_weimar_000036_000019', {'poly_id': 'weimar_000036_000019_64', 'color_shift': 128, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b8c492cb-19c6-48a2-8840-e38fc9c1f2ea_aachen_000110_000019', {'poly_id': 'aachen_000110_000019_60', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4b38394a-3ff1-418f-992e-eca177d61baa_strasbourg_000000_009110', {'poly_id': 'strasbourg_000000_009110_33', 'color_shift': 76, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7cb61032-4997-4ced-b7dc-fdd0228a17ee_hanover_000000_004230', {'poly_id': 'hanover_000000_004230_54', 'color_shift': 95, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('37f20a14-5f2e-48ca-9999-15c201b34d6d_bremen_000269_000019', {'poly_id': 'bremen_000269_000019_111', 'color_shift': 92, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f628cf04-984d-49d9-94fd-105b941370a8_aachen_000030_000019', {'poly_id': 'aachen_000030_000019_14', 'color_shift': 96, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('0906bf57-1f23-489e-afa8-50ed60ad2d88_strasbourg_000001_006386', {'poly_id': 'strasbourg_000001_006386_37', 'color_shift': 47, 'dec_lit': 48, 'inc_sat': 26, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d8a64315-0de3-4160-9e82-30ba3d00033c_dusseldorf_000168_000019', {'poly_id': 'dusseldorf_000168_000019_64', 'color_shift': 47, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('333ad068-2027-4ad9-9b69-ff034b907075_krefeld_000000_002083', {'poly_id': 'krefeld_000000_002083_57', 'color_shift': 135, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('4a6f7e2e-93c9-4808-b37f-17537fc04f81_bremen_000098_000019', {'poly_id': 'bremen_000098_000019_57', 'color_shift': 108, 'dec_lit': 29, 'inc_sat': 32, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d58a335e-3d74-476e-b930-f320a43d320b_munster_000016_000019', {'poly_id': 'munster_000016_000019_24', 'color_shift': 53, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('962d6833-adaa-4b48-b93d-fdfacd77b012_stuttgart_000044_000019', {'poly_id': 'stuttgart_000044_000019_44', 'color_shift': 59, 'dec_lit': 43, 'inc_sat': 16, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('33be1884-1b0c-442b-9abc-2ff85ac3ec4a_cologne_000145_000019', {'poly_id': 'cologne_000145_000019_82', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('c2836b00-3108-4ea2-af25-75acf0f5e737_bremen_000179_000019', {'poly_id': 'bremen_000179_000019_68', 'color_shift': 89, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b28166a2-e35c-4ca0-83d4-909a22d936c9_hamburg_000000_063698', {'poly_id': 'hamburg_000000_063698_80', 'color_shift': 127, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1b15b9c5-e178-4b2b-8c70-57c82fb178db_bremen_000219_000019', {'poly_id': 'bremen_000219_000019_40', 'color_shift': 115, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('aabfcff4-938b-4ac1-9422-315cfe8803f3_tubingen_000137_000019', {'poly_id': 'tubingen_000137_000019_61', 'color_shift': 49, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('129ac909-84a0-4869-bd60-e1878a9f7357_weimar_000066_000019', {'poly_id': 'weimar_000066_000019_40', 'color_shift': 71, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e0ec4ffc-432a-4683-9cae-e8e4a6b1a79b_strasbourg_000001_040620', {'poly_id': 'strasbourg_000001_040620_28', 'color_shift': 127, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('351c891a-d1e6-4d97-b68a-22b718414243_bremen_000150_000019', {'poly_id': 'bremen_000150_000019_115', 'color_shift': 97, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('bfdfc110-2983-4d49-82a2-b97316cc7843_bremen_000083_000019', {'poly_id': 'bremen_000083_000019_25', 'color_shift': 105, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3da78de2-983c-45d1-97cf-ba4880b781f7_dusseldorf_000187_000019', {'poly_id': 'dusseldorf_000187_000019_56', 'color_shift': 97, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a541993a-1c6a-438f-82f1-69fea68a8692_erfurt_000072_000019', {'poly_id': 'erfurt_000072_000019_68', 'color_shift': 58, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('72c64151-0005-4587-8489-fbd559c14fd4_hamburg_000000_067223', {'poly_id': 'hamburg_000000_067223_40', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b06cfeca-55ca-48c1-923e-acd51545e6a9_hamburg_000000_093787', {'poly_id': 'hamburg_000000_093787_20', 'color_shift': 76, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('5a70da22-e716-4ccf-b7b6-dbc4c7359326_strasbourg_000001_032660', {'poly_id': 'strasbourg_000001_032660_47', 'color_shift': 109, 'dec_lit': 32, 'inc_sat': 37, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('63bd5fde-069d-422a-9c8d-e27c88548496_monchengladbach_000000_033683', {'poly_id': 'monchengladbach_000000_033683_16', 'color_shift': 102, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('50ae910a-1073-409e-a8c6-2664921e4f84_bremen_000139_000019', {'poly_id': 'bremen_000139_000019_42', 'color_shift': 63, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d058262c-515a-43cd-b2ca-89d54581859a_hanover_000000_004646', {'poly_id': 'hanover_000000_004646_100', 'color_shift': 47, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('94265b6f-5c61-4da5-8b02-bb8bae509e7f_cologne_000067_000019', {'poly_id': 'cologne_000067_000019_58', 'color_shift': 50, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b4bd9bd5-5ee8-4dd4-8a37-4534a144a92e_munster_000128_000019', {'poly_id': 'munster_000128_000019_76', 'color_shift': 58, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('bb5541b5-1596-4d85-828f-3eadcff6cfbc_strasbourg_000001_032660', {'poly_id': 'strasbourg_000001_032660_25', 'color_shift': 45, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7706701c-7583-4be7-a6fc-d08550da18fc_bremen_000161_000019', {'poly_id': 'bremen_000161_000019_11', 'color_shift': 89, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e18197c0-031a-4936-9c51-a607c13c5557_dusseldorf_000013_000019', {'poly_id': 'dusseldorf_000013_000019_62', 'color_shift': 61, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b7a58cbe-6014-4797-b79d-3ca9586fabaa_stuttgart_000066_000019', {'poly_id': 'stuttgart_000066_000019_58', 'color_shift': 94, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('641de3b0-cefa-4a7a-8c1c-006eb0e7d2b8_tubingen_000088_000019', {'poly_id': 'tubingen_000088_000019_19', 'color_shift': 75, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9841d3b4-538f-4a54-868c-e67856efa593_stuttgart_000120_000019', {'poly_id': 'stuttgart_000120_000019_10', 'color_shift': 84, 'dec_lit': 30, 'inc_sat': 22, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('7d960f59-14ae-43ca-ae00-b7fa46ffd228_stuttgart_000162_000019', {'poly_id': 'stuttgart_000162_000019_66', 'color_shift': 66, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('b47bad6e-44d9-493e-95aa-73c731952585_tubingen_000065_000019', {'poly_id': 'tubingen_000065_000019_28', 'color_shift': 90, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('a93700f5-b39a-4d1f-8a32-0702c09de446_stuttgart_000088_000019', {'poly_id': 'stuttgart_000088_000019_45', 'color_shift': 131, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('3e4d8ade-db5b-43aa-9cd3-0c8e6e522500_erfurt_000100_000019', {'poly_id': 'erfurt_000100_000019_41', 'color_shift': 84, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('700d19c5-dc99-4a7c-b2ce-49a0ef8e504f_monchengladbach_000000_024243', {'poly_id': 'monchengladbach_000000_024243_39', 'color_shift': 94, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('46cb41b1-6018-4244-8955-dc8f4e84a9dc_hanover_000000_043102', {'poly_id': 'hanover_000000_043102_186', 'color_shift': 100, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('f8709d50-3ef0-4af7-8e20-46dd9ef2c6fb_ulm_000083_000019', {'poly_id': 'ulm_000083_000019_54', 'color_shift': 71, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('16c178e6-0b4a-47e0-8af9-c2c36c667e72_jena_000086_000019', {'poly_id': 'jena_000086_000019_66', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('692a1aa1-1891-48b3-9737-af6400eaa17a_bochum_000000_014332', {'poly_id': 'bochum_000000_014332_78', 'color_shift': 110, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e8ebb537-ff0e-4760-8a8f-9a6b27409a74_stuttgart_000097_000019', {'poly_id': 'stuttgart_000097_000019_25', 'color_shift': 61, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('1488c5c4-cc06-4a89-bed6-44719bec1978_bremen_000266_000019', {'poly_id': 'bremen_000266_000019_112', 'color_shift': 66, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d887d8fc-68f4-472c-849c-fcd90bb27652_hanover_000000_014713', {'poly_id': 'hanover_000000_014713_104', 'color_shift': 47, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('10da5414-eca8-4ba5-9ee0-bd9847bcf0e0_aachen_000104_000019', {'poly_id': 'aachen_000104_000019_20', 'color_shift': 51, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('9c877f6f-5971-444e-ab52-20acd746b7ba_stuttgart_000156_000019', {'poly_id': 'stuttgart_000156_000019_51', 'color_shift': 103, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('055938c5-f656-4f7f-a793-13dc28f185bf_bremen_000097_000019', {'poly_id': 'bremen_000097_000019_17', 'color_shift': 80, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('644e0de3-5fa5-44a4-be38-15c24b1d0fc9_dusseldorf_000174_000019', {'poly_id': 'dusseldorf_000174_000019_42', 'color_shift': 114, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('85eef911-7322-4c51-bc9d-ff182af7d8cd_hamburg_000000_071942', {'poly_id': 'hamburg_000000_071942_82', 'color_shift': 113, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('e7f3f254-b76e-473d-aa72-38d190c923a9_munster_000132_000019', {'poly_id': 'munster_000132_000019_85', 'color_shift': 95, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2cd79276-c0a6-4a11-bb46-a16a8baf1a72_dusseldorf_000192_000019', {'poly_id': 'dusseldorf_000192_000019_79', 'color_shift': 117, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('12ff0c1c-3952-4b38-8640-09e48f850724_strasbourg_000000_014931', {'poly_id': 'strasbourg_000000_014931_68', 'color_shift': 50, 'dec_lit': 38, 'inc_sat': 22, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('d6f87de7-cf4e-4abd-9dc2-b8376a7e0981_darmstadt_000077_000019', {'poly_id': 'darmstadt_000077_000019_77', 'color_shift': 92, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('cde84db5-4c18-4bd2-be61-bffeb9f907b5_cologne_000031_000019', {'poly_id': 'cologne_000031_000019_27', 'color_shift': 59, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('ef067b18-c293-409d-81da-5068007e9107_frankfurt_000001_067178', {'poly_id': 'frankfurt_000001_067178_88', 'color_shift': 82, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('683ad468-f5bd-428d-af47-1a66415e10a8_weimar_000062_000019', {'poly_id': 'weimar_000062_000019_37', 'color_shift': 107, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('955668f5-6f7b-4575-8dbe-0fb66e09b396_dusseldorf_000033_000019', {'poly_id': 'dusseldorf_000033_000019_74', 'color_shift': 100, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
('2e833b4b-783b-4ba6-ad9b-364603d97578_dusseldorf_000058_000019', {'poly_id': 'dusseldorf_000058_000019_43', 'color_shift': 81, 'dec_lit': None, 'inc_sat': None, 'semantic_label': 'car', 'mutation_type': MutationType.CHANGE_COLOR}),
