('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/df5c5a56-c741-4eb2-965c-48277df6c4df_bochum_000000_003005_edit.png', array([-0.3134752, -1.3126813], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e2d96fe6-e09e-4911-a777-1172f0f36bb4_ulm_000092_000019_edit.png', array([-0.5339108, -0.8826323], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/782ef27c-58ad-4c94-88b2-b1daef122bb0_strasbourg_000001_000508_edit.png', array([-0.68578184, -0.70056725], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4528f956-068c-4eb8-84e3-ef306dfc32c5_jena_000013_000019_edit.png', array([-0.4047255, -1.1000932], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/986c0857-ca1e-43b3-823a-deadded05a0a_tubingen_000091_000019_edit.png', array([-0.41076165, -1.0881028 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/1f59e3e7-6720-4015-88c0-27371a5c78c4_tubingen_000088_000019_edit.png', array([-0.47432005, -0.97367656], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/96ad58bd-81f2-47ea-9666-0278e9969a44_dusseldorf_000153_000019_edit.png', array([-0.33654034, -1.2525928 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/af7eb928-3e8e-4222-b72d-6451a81be805_dusseldorf_000088_000019_edit.png', array([-0.39147252, -1.1271988 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/c6b19d90-f0fd-4660-ac8c-6f5e964d3304_cologne_000004_000019_edit.png', array([-0.618823 , -0.7734424], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fbdac9c6-4bd4-447a-b7ec-eccbad5d16af_bremen_000288_000019_edit.png', array([-0.6020483 , -0.79338443], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/628a99df-5ab5-4181-a2a5-1ac1d44882e7_dusseldorf_000028_000019_edit.png', array([-0.39009458, -1.1300809 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/001dcd57-655f-4470-b76a-efe5f40b1627_erfurt_000101_000019_edit.png', array([-0.5876315, -0.8111243], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4d998e66-7d50-4d79-8f0a-877a99d50a3c_aachen_000046_000019_edit.png', array([-0.4534061, -1.0091193], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6f4ac3d0-cc3c-4ef6-ba56-2f4fb12a1a79_bochum_000000_004748_edit.png', array([-0.6307407, -0.759709 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1d0fcdc8-6a4f-4c4e-9593-b8f25567458e_erfurt_000004_000019_edit.png', array([-0.5343323 , -0.88203526], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/d01357af-9a7e-4587-b7cf-b43837c9c65e_dusseldorf_000099_000019_edit.png', array([-0.64192045, -0.7471404 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/403b7fd4-6619-4b7d-832d-0a85f7ff3415_jena_000064_000019_edit.png', array([-0.31443352, -1.3100829 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d6c1d21b-5bd3-4e0d-9809-d34bbb1dbb76_erfurt_000049_000019_edit.png', array([-0.41461515, -1.0805597 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e7bfd6fd-e718-4271-bab7-f351685a93e4_monchengladbach_000000_019142_edit.png', array([-0.31326282, -1.3132583 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d185e8be-9cd3-4397-8b21-0becaf5013f8_jena_000074_000019_edit.png', array([-0.36051548, -1.1950687 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/a19caf0f-9eab-4ef4-8a6a-c854eca62ff5_cologne_000001_000019_edit.png', array([-0.31473732, -1.3092614 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/dac23523-4cf9-498d-93cb-4befc286cf26_aachen_000057_000019_edit.png', array([-0.5976669, -0.7987156], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9ec997db-0673-44aa-8d77-6c9cd316d059_hanover_000000_003411_edit.png', array([-0.34152573, -1.2402399 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a157247d-48c4-4e95-8a30-213779120680_bremen_000118_000019_edit.png', array([-0.5811544 , -0.81928277], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7dc3ed3d-909b-4fcc-882b-a633a096121a_bremen_000143_000019_edit.png', array([-0.46129036, -0.99552214], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d771dce5-18c9-4e67-b922-c9aa3901c985_stuttgart_000191_000019_edit.png', array([-0.31346673, -1.3127044 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/57f922d6-1c5d-43af-b745-fc4109e9da06_ulm_000086_000019_edit.png', array([-0.34753734, -1.2256242 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d9d60c83-e611-47f2-82a0-20c3793de47f_erfurt_000092_000019_edit.png', array([-0.37933874, -1.1530064 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ad738593-1ca3-46dc-a010-4034c9efb12a_darmstadt_000047_000019_edit.png', array([-0.4788915, -0.9661893], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/d2f12176-a4d1-4e1a-87c2-bc5feccb5aa5_erfurt_000016_000019_edit.png', array([-0.31668043, -1.3040272 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b284559d-4b69-4aaf-8cd8-86433b10133e_erfurt_000079_000019_edit.png', array([-0.6623512 , -0.72492176], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/42c036d2-a574-4e69-b873-5992099b58d2_aachen_000080_000019_edit.png', array([-0.6865625, -0.6997754], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2ea4b64a-6c84-48a2-8434-b43f577938a2_ulm_000089_000019_edit.png', array([-0.45430332, -1.0075572 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/519e6dc0-4148-4d20-90c4-0d809d99ae4e_cologne_000059_000019_edit.png', array([-0.3309884, -1.2666056], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9dd760ec-5554-4579-b09b-f0050b14f8f0_zurich_000097_000019_edit.png', array([-0.427675 , -1.0556196], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5e190932-07bd-4447-bb7b-d024fb9e9677_bremen_000126_000019_edit.png', array([-0.31917053, -1.297374  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9f7e9d9b-8cf6-4f6c-b1bb-af6dca9deb9d_bremen_000297_000019_edit.png', array([-0.37131423, -1.1706254 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9b486641-ea96-464c-a877-ec9c4943c441_stuttgart_000077_000019_edit.png', array([-0.48318064, -0.9592463 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/59f4a38a-0af7-4dc1-b7ae-78cf0192e413_bochum_000000_005537_edit.png', array([-0.49645907, -0.9382349 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/add9c36f-f97c-4e00-ae8a-0ab57257488e_stuttgart_000068_000019_edit.png', array([-0.35363156, -1.2111105 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/cbe3f37c-8200-4dd7-bd1b-f72a8e47129f_hamburg_000000_004985_edit.png', array([-0.4255857, -1.0595461], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/5442ba57-f92e-4fae-ac8c-692fa67b83f8_weimar_000012_000019_edit.png', array([-0.45165128, -1.0121852 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/7c544499-d296-42a3-a0f8-404dd9f06997_darmstadt_000006_000019_edit.png', array([-0.33120787, -1.2660462 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/971194be-d23c-4ce7-9a73-1dd041395e53_monchengladbach_000000_005138_edit.png', array([-0.5018931, -0.9298408], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8fa4d1d0-ef71-480e-abce-0abf459d0ac7_weimar_000000_000019_edit.png', array([-0.32095712, -1.2926375 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/d8080894-ead5-4535-8526-782006b8a62f_tubingen_000088_000019_edit.png', array([-0.32710212, -1.2765799 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1411f46d-68dc-4aae-b45e-01a2142c4ad0_bremen_000312_000019_edit.png', array([-0.520468 , -0.9019992], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/676e6d18-1b37-4f87-a826-6ce9c29349b6_strasbourg_000001_064224_edit.png', array([-0.6205002 , -0.77148783], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f6c367eb-d100-4861-84be-8bae1b6fe3ef_stuttgart_000191_000019_edit.png', array([-0.31954277, -1.2963847 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e60c93e8-5254-4f4e-8090-3e4c75db5178_dusseldorf_000099_000019_edit.png', array([-0.5611159, -0.8453013], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/4d0685a4-98c4-4a0c-8ef8-e4be72060466_erfurt_000096_000019_edit.png', array([-0.31574816, -1.3065335 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fedaf7ea-3e0e-45f7-a05d-4e1cabda3566_weimar_000092_000019_edit.png', array([-0.58463025, -0.81488997], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/18719ba7-602c-4c9c-bc88-4b5b9fd1c758_bremen_000126_000019_edit.png', array([-0.47859502, -0.9666722 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective/7ee3d0c8-ccaa-43fc-8913-02e0e5b1b40c_weimar_000031_000019_edit.png', array([-0.334392 , -1.2579826], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/b6484095-d970-4538-bbb6-122cdb1e0fe6_bremen_000265_000019_edit.png', array([-0.6580673 , -0.72950256], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9ccf2814-8a02-4811-b61f-26a19a24a45f_weimar_000102_000019_edit.png', array([-0.3194915, -1.2965206], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/8b86d7d2-2b6c-4d32-be76-c0db97a556d4_hamburg_000000_030953_edit.png', array([-0.5754588 , -0.82655704], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_change_person_color/0fc288af-b4a1-4b41-87e0-c5f2afec11c1_strasbourg_000000_018153_edit.png', array([-0.31326175, -1.3132617 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/071c6254-6d55-419a-a68e-addf1e4693b3_strasbourg_000000_000065_edit.png', array([-0.37335694, -1.1660975 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bc659133-1c80-4f35-8365-5529051fd93f_hanover_000000_045188_edit.png', array([-0.335913, -1.254162], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/77ffc49f-4a98-4d4a-a1cc-b859e2724840_ulm_000007_000019_edit.png', array([-0.4397453, -1.0333878], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/77751113-34b8-4ce8-a3a3-5d57dbe3e682_hamburg_000000_077642_edit.png', array([-0.3447451, -1.2323754], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ea8e6c49-1be9-49de-b600-fb907e29ee9e_dusseldorf_000212_000019_edit.png', array([-0.4776441, -0.9682233], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/59811a9b-ed13-40fb-b281-716f6daa3718_ulm_000042_000019_edit.png', array([-0.31366926, -1.3121544 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/4453f45c-5c43-442c-903c-e798f0c37420_ulm_000048_000019_edit.png', array([-0.34056824, -1.2425954 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/60d93042-c050-40bd-bf0e-8fc6815a85c6_erfurt_000042_000019_edit.png', array([-0.65706223, -0.7305832 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/5269196a-c961-4239-880c-c41bfbbd4c8b_tubingen_000088_000019_edit.png', array([-0.32638335, -1.2784399 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/8f4b3a27-d907-469d-9a25-4f94ad0efeb5_dusseldorf_000059_000019_edit.png', array([-0.5296348, -0.8887241], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/214ecd56-f1e9-40fc-a92d-9d4ddfb66782_aachen_000056_000019_edit.png', array([-0.61230505, -0.781104  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/35703ee2-6ead-42f4-b635-cd22e6cb392f_bochum_000000_007651_edit.png', array([-0.5601319, -0.8466102], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/35c2b452-da35-4146-8672-9f9a5e4662d0_krefeld_000000_035124_edit.png', array([-0.31946725, -1.2965852 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/2a1f1c3b-64d0-4ee3-9ba6-486d0a45e8d0_stuttgart_000112_000019_edit.png', array([-0.32045358, -1.2939695 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/b1772d0f-8547-4689-b2bc-6636224b0f2b_erfurt_000100_000019_edit.png', array([-0.6156003 , -0.77721715], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f569f184-1980-4362-a5d8-ea71b1944064_weimar_000113_000019_edit.png', array([-0.3153125, -1.3077081], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/d03c0566-1907-4b8a-bc67-f097be2be30a_weimar_000045_000019_edit.png', array([-0.31331813, -1.3131082 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/f63fe67f-3b83-4ff0-ba2b-1fc60f632b91_hamburg_000000_004985_edit.png', array([-0.41732854, -1.0752995 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/bb419c7d-641d-4675-b267-e23c8b81ba2b_dusseldorf_000189_000019_edit.png', array([-0.63238907, -0.75783694], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/a7bda957-1dab-40cf-a941-dbf838b5bd63_dusseldorf_000182_000019_edit.png', array([-0.49337387, -0.9430531 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/33d71a99-698e-4ba8-9ed6-5e1084da3eaa_erfurt_000016_000019_edit.png', array([-0.44831818, -1.0180507 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/eb5bce67-f68f-44d8-a343-cc2fe3decbd1_darmstadt_000000_000019_edit.png', array([-0.3143338, -1.3103533], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/f88ce309-d26d-49a0-b47a-e558410dbb1e_cologne_000059_000019_edit.png', array([-0.33340824, -1.2604641 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/c6fce216-35d4-4f70-83dc-a43f55c494b1_dusseldorf_000165_000019_edit.png', array([-0.32521862, -1.281464  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/94ce74d5-5b43-4027-81d9-4e7a36f7a997_krefeld_000000_035124_edit.png', array([-0.43140018, -1.0486767 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/06204e8f-01e0-4d04-bd37-1401abd4864f_hamburg_000000_077642_edit.png', array([-0.3243407, -1.2837521], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/9ff8deb0-850d-4aa7-94eb-80ea9774aa77_dusseldorf_000042_000019_edit.png', array([-0.38119388, -1.1489967 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/6af800d1-d75f-4d5f-bf19-0a85cedb49a8_stuttgart_000082_000019_edit.png', array([-0.4679178, -0.9843153], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fe51dc1a-747f-44cb-bece-72102fa4f997_strasbourg_000000_028240_edit.png', array([-0.46522868, -0.98883843], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/0fe07861-e91b-4ef1-9985-32675a9cf8b5_aachen_000080_000019_edit.png', array([-0.60753125, -0.7867855 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/ce369533-a55e-4796-ac5a-7660cef3ae3c_strasbourg_000000_021651_edit.png', array([-0.314175 , -1.3107834], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/e03aa77e-1b00-4415-8185-cecbeceb144d_tubingen_000088_000019_edit.png', array([-0.44859987, -1.017553  ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/eff1b6c5-c21f-4887-be52-b807a981f918_strasbourg_000001_057129_edit.png', array([-0.32855302, -1.2728401 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/723f7183-7ef1-49fd-85ab-d467bec196fe_erfurt_000062_000019_edit.png', array([-0.49753022, -0.9365714 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/fb88c34e-44bf-42c0-86be-c17f37e498c5_strasbourg_000000_031223_edit.png', array([-0.3879019, -1.1346922], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/ae723f5e-9586-458d-9db8-0d3afeaff122_tubingen_000021_000019_edit.png', array([-0.53494775, -0.88116467], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/add_car_check_perspective/5cce4a62-3d4a-4933-8dee-f0996a4eb2d5_ulm_000058_000019_edit.png', array([-0.6845619, -0.7018068], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/1ce03c95-88f3-42a4-b4d5-81ac04854802_bochum_000000_004748_edit.png', array([-0.62672895, -0.7642925 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations/21808a05-f6ea-4192-832f-cc7881012168_erfurt_000042_000019_edit.png', array([-0.68860376, -0.6977113 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/a3f16060-0f16-47f4-9b89-d6b791040926_monchengladbach_000000_006169_edit.png', array([-0.38589054, -1.1389499 ], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_add_person/89f114be-fd58-4187-81e6-906e330e346f_jena_000064_000019_edit.png', array([-0.3135898, -1.3123703], dtype=float32))
('/home/adwiii/git/perception_fuzzing/src/images/cityscapes_good_gt_mutations_10k/882b667e-c087-4898-b0a3-44c84bffadd8_dusseldorf_000069_000019_edit.png', array([-0.4674335 , -0.98512733], dtype=float32))
